repository,sha,author_login,author_name,commit_message,commit_date,files_changed,additions,deletions,total_changes,source_files_changed,test_files_changed,doc_files_changed,config_files_changed,message_length,message_word_count,is_merge_commit,hours_since_previous_commit,quality_label,selection_reason,candidate_score,changed_filenames,file_statuses,file_summary,patch_summary,api_files_count,patch_available_count,lockfile_count,generated_file_count,candidate_reasons,combined_text
psf/requests,6ec76b4a36fba4a32fb72f5f9ba04e632635e477,DimitriPapadopoulos,Dimitri Papadopoulos Orfanos,Ruff rule UP038 has been removed (#7393),2026-04-27 15:08:18+00:00,1,1,1,2,0,0,0,1,40,7,False,,USEFUL,tiny_commit,10.0,pyproject.toml,modified,pyproject.toml | status=modified | +1 | -1,"FILE: pyproject.toml
@@ -88,7 +88,7 @@ select = [
     ""UP"",     # pyupgrade
     ""T10"",    # flake8-debugger (replaces debug-statements hook)
 ]
-ignore = [""E203"", ""E501"", ""UP038"", ""UP031""]
+ignore = [""E203"", ""E501"", ""UP031""]
 per-file-ignores = {""src/requests/__init__.py"" = [""E402"", ""F401""], ""src/requests/compat.py"" = [""E402"", ""F401""], ""tests/compat.py"" = [""F401""]}
 
 [tool.ruff.lint.isort]",1.0,1.0,0.0,0.0,small configuration-only change | tiny commit with inspectable patch | single-file tiny change,"Ruff rule UP038 has been removed (#7393) pyproject.toml pyproject.toml | status=modified | +1 | -1 FILE: pyproject.toml
@@ -88,7 +88,7 @@ select = [
     ""UP"",     # pyupgrade
     ""T10"",    # flake8-debugger (replaces debug-statements hook)
 ]
-ignore = [""E203"", ""E501"", ""UP038"", ""UP031""]
+ignore = [""E203"", ""E501"", ""UP031""]
 per-file-ignores = {""src/requests/__init__.py"" = [""E402"", ""F401""], ""src/requests/compat.py"" = [""E402"", ""F401""], ""tests/compat.py"" = [""F401""]}
 
 [tool.ruff.lint.isort]"
scikit-learn/scikit-learn,70c24cd1de3176c6123eb3a4a799b188c48beedf,cakedev0,Arthur Lacote,DOC Remove redundant array API SciPy note (#34063),2026-05-20 07:53:16+00:00,1,1,1,2,0,0,1,0,50,8,False,17.36722222222222,USEFUL,random,10.0,doc/modules/array_api.rst,modified,doc/modules/array_api.rst | status=modified | +1 | -1,"FILE: doc/modules/array_api.rst
@@ -230,7 +230,7 @@ Metrics
 - :func:`sklearn.metrics.mean_absolute_percentage_error`
 - :func:`sklearn.metrics.mean_gamma_deviance`
 - :func:`sklearn.metrics.mean_pinball_loss`
-- :func:`sklearn.metrics.mean_poisson_deviance` (requires `enabling array API support for SciPy <https://docs.scipy.org/doc/scipy/dev/api-dev/array_api.html#using-array-api-standard-support>`_)
+- :func:`sklearn.metrics.mean_poisson_deviance`
 - :func:`sklearn.metrics.mean_squared_error`
 - :func:`sklearn.metrics.mean_squared_log_error`
 - :func:`sklearn.metrics.mean_tweedie_deviance`",1.0,1.0,0.0,0.0,small documentation-only change | tiny commit with inspectable patch | single-file tiny change,"DOC Remove redundant array API SciPy note (#34063) doc/modules/array_api.rst doc/modules/array_api.rst | status=modified | +1 | -1 FILE: doc/modules/array_api.rst
@@ -230,7 +230,7 @@ Metrics
 - :func:`sklearn.metrics.mean_absolute_percentage_error`
 - :func:`sklearn.metrics.mean_gamma_deviance`
 - :func:`sklearn.metrics.mean_pinball_loss`
-- :func:`sklearn.metrics.mean_poisson_deviance` (requires `enabling array API support for SciPy <https://docs.scipy.org/doc/scipy/dev/api-dev/array_api.html#using-array-api-standard-support>`_)
+- :func:`sklearn.metrics.mean_poisson_deviance`
 - :func:`sklearn.metrics.mean_squared_error`
 - :func:`sklearn.metrics.mean_squared_log_error`
 - :func:`sklearn.metrics.mean_tweedie_deviance`"
psf/requests,e946665c5953ab40e6dbb29cc8c496ee625fdadd,duzhuoshanwai,duzhuoshanwai,"Update advanced.rst

Add quotes to prevent Zsh wildcard interpretation.",2025-02-19 02:05:28+00:00,1,1,1,2,0,0,1,0,71,9,False,,USEFUL,documentation_only,10.0,docs/user/advanced.rst,modified,docs/user/advanced.rst | status=modified | +1 | -1,"FILE: docs/user/advanced.rst
@@ -681,7 +681,7 @@ You can get the dependencies for this feature from ``pip``:
 
 .. code-block:: bash
 
-    $ python -m pip install requests[socks]
+    $ python -m pip install 'requests[socks]'
 
 Once you've installed those dependencies, using a SOCKS proxy is just as easy
 as using a HTTP one::",1.0,1.0,0.0,0.0,small documentation-only change | tiny commit with inspectable patch | single-file tiny change,"Update advanced.rst

Add quotes to prevent Zsh wildcard interpretation. docs/user/advanced.rst docs/user/advanced.rst | status=modified | +1 | -1 FILE: docs/user/advanced.rst
@@ -681,7 +681,7 @@ You can get the dependencies for this feature from ``pip``:
 
 .. code-block:: bash
 
-    $ python -m pip install requests[socks]
+    $ python -m pip install 'requests[socks]'
 
 Once you've installed those dependencies, using a SOCKS proxy is just as easy
 as using a HTTP one::"
psf/requests,753fd08c5eacce0aa0df73fe47e49525c67e0a29,rohan436,rohan436,"docs: fix FAQ grammar in httplib2 example

Signed-off-by: rohan436 <rohan.santhoshkumar@googlemail.com>",2026-02-27 09:30:09+00:00,1,1,1,2,0,0,1,0,103,10,False,,LOW_VALUE,documentation_only,10.0,docs/community/faq.rst,modified,docs/community/faq.rst | status=modified | +1 | -1,"FILE: docs/community/faq.rst
@@ -45,7 +45,7 @@ Chris Adams gave an excellent summary on
     for, oh, about 0.0001% of the awesomeness.
 
     1. http://code.google.com/p/httplib2/issues/detail?id=96 is a good example:
-    an annoying bug which affect many people, there was a fix available for
+    an annoying bug that affected many people, there was a fix available for
     months, which worked great when I applied it in a fork and pounded a couple
     TB of data through it, but it took over a year to make it into trunk and
     even longer to make it onto PyPI where any other project which required """,1.0,1.0,0.0,0.0,small documentation-only change | tiny commit with inspectable patch | single-file tiny change,"docs: fix FAQ grammar in httplib2 example

Signed-off-by: rohan436 <rohan.santhoshkumar@googlemail.com> docs/community/faq.rst docs/community/faq.rst | status=modified | +1 | -1 FILE: docs/community/faq.rst
@@ -45,7 +45,7 @@ Chris Adams gave an excellent summary on
     for, oh, about 0.0001% of the awesomeness.
 
     1. http://code.google.com/p/httplib2/issues/detail?id=96 is a good example:
-    an annoying bug which affect many people, there was a fix available for
+    an annoying bug that affected many people, there was a fix available for
     months, which worked great when I applied it in a fork and pounded a couple
     TB of data through it, but it took over a year to make it into trunk and
     even longer to make it onto PyPI where any other project which required """
encode/httpx,d76607b112bf0bfbc79dc4dd8566101c69dbfa6e,SigureMo,Nyakku Shigure,Adding an indent to fix wrong rendering in warning block (#3056),2024-01-15 12:30:09+00:00,1,1,1,2,0,0,1,0,64,11,False,,USEFUL,documentation_only|random,10.0,docs/async.md,modified,docs/async.md | status=modified | +1 | -1,"FILE: docs/async.md
@@ -54,7 +54,7 @@ async with httpx.AsyncClient() as client:
 ```
 
 !!! warning
-In order to get the most benefit from connection pooling, make sure you're not instantiating multiple client instances - for example by using `async with` inside a ""hot loop"". This can be achieved either by having a single scoped client that's passed throughout wherever it's needed, or by having a single global client instance.
+    In order to get the most benefit from connection pooling, make sure you're not instantiating multiple client instances - for example by using `async with` inside a ""hot loop"". This can be achieved either by having a single scoped client that's passed throughout wherever it's needed, or by having a single global client instance.
 
 Alternatively, use `await client.aclose()` if you want to close a client explicitly:
 ",1.0,1.0,0.0,0.0,small documentation-only change | tiny commit with inspectable patch | single-file tiny change,"Adding an indent to fix wrong rendering in warning block (#3056) docs/async.md docs/async.md | status=modified | +1 | -1 FILE: docs/async.md
@@ -54,7 +54,7 @@ async with httpx.AsyncClient() as client:
 ```
 
 !!! warning
-In order to get the most benefit from connection pooling, make sure you're not instantiating multiple client instances - for example by using `async with` inside a ""hot loop"". This can be achieved either by having a single scoped client that's passed throughout wherever it's needed, or by having a single global client instance.
+    In order to get the most benefit from connection pooling, make sure you're not instantiating multiple client instances - for example by using `async with` inside a ""hot loop"". This can be achieved either by having a single scoped client that's passed throughout wherever it's needed, or by having a single global client instance.
 
 Alternatively, use `await client.aclose()` if you want to close a client explicitly:
 "
pytest-dev/pytest,916a7598e51d321abddb851bc9ed356bf11b0534,pre-commit-ci[bot],pre-commit-ci[bot],"[pre-commit.ci] pre-commit autoupdate (#14405)

updates:
- [github.com/astral-sh/ruff-pre-commit: v0.15.10 → v0.15.11](https://github.com/astral-sh/ruff-pre-commit/compare/v0.15.10...v0.15.11)

Co-authored-by: pre-commit-ci[bot] <66853113+pre-commit-ci[bot]@users.noreply.github.com>",2026-04-20 21:31:45+00:00,1,1,1,2,0,0,0,1,283,13,False,167.67527777777778,LOW_VALUE,random,10.0,.pre-commit-config.yaml,modified,.pre-commit-config.yaml | status=modified | +1 | -1,"FILE: .pre-commit-config.yaml
@@ -1,7 +1,7 @@
 minimum_pre_commit_version: ""4.4.0""
 repos:
 - repo: https://github.com/astral-sh/ruff-pre-commit
-  rev: ""v0.15.10""
+  rev: ""v0.15.11""
   hooks:
     - id: ruff-check
       args: [""--fix""]",1.0,1.0,0.0,0.0,small configuration-only change | tiny commit with inspectable patch | single-file tiny change,"[pre-commit.ci] pre-commit autoupdate (#14405)

updates:
- [github.com/astral-sh/ruff-pre-commit: v0.15.10 → v0.15.11](https://github.com/astral-sh/ruff-pre-commit/compare/v0.15.10...v0.15.11)

Co-authored-by: pre-commit-ci[bot] <66853113+pre-commit-ci[bot]@users.noreply.github.com> .pre-commit-config.yaml .pre-commit-config.yaml | status=modified | +1 | -1 FILE: .pre-commit-config.yaml
@@ -1,7 +1,7 @@
 minimum_pre_commit_version: ""4.4.0""
 repos:
 - repo: https://github.com/astral-sh/ruff-pre-commit
-  rev: ""v0.15.10""
+  rev: ""v0.15.11""
   hooks:
     - id: ruff-check
       args: [""--fix""]"
tiangolo/sqlmodel,75c976aee5f4ec0ef60dc1ef52a27275bfddcf93,dependabot[bot],dependabot[bot],"⬆ Bump zizmorcore/zizmor-action from 0.5.3 to 0.5.5 (#1974)

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",2026-05-21 05:06:30+00:00,1,1,1,2,0,0,0,1,196,14,False,68.83972222222222,LOW_VALUE,configuration_only,10.0,.github/workflows/zizmor.yml,modified,.github/workflows/zizmor.yml | status=modified | +1 | -1,"FILE: .github/workflows/zizmor.yml
@@ -21,4 +21,4 @@ jobs:
         with:
           persist-credentials: false
       - name: Run zizmor
-        uses: zizmorcore/zizmor-action@b1d7e1fb5de872772f31590499237e7cce841e8e # v0.5.3
+        uses: zizmorcore/zizmor-action@a16621b09c6db4281f81a93cb393b05dcd7b7165 # v0.5.5",1.0,1.0,0.0,0.0,small configuration-only change | tiny commit with inspectable patch | single-file tiny change,"⬆ Bump zizmorcore/zizmor-action from 0.5.3 to 0.5.5 (#1974)

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com> .github/workflows/zizmor.yml .github/workflows/zizmor.yml | status=modified | +1 | -1 FILE: .github/workflows/zizmor.yml
@@ -21,4 +21,4 @@ jobs:
         with:
           persist-credentials: false
       - name: Run zizmor
-        uses: zizmorcore/zizmor-action@b1d7e1fb5de872772f31590499237e7cce841e8e # v0.5.3
+        uses: zizmorcore/zizmor-action@a16621b09c6db4281f81a93cb393b05dcd7b7165 # v0.5.5"
pytest-dev/pytest,404ab3694d587b05bda4e5c354f4bc8e56774fa3,bluetech,Ran Benita,"Merge pull request #14541 from pytest-dev/dependabot/pip/testing/plugins_integration/pytest-rerunfailures-16.3

build(deps): Bump pytest-rerunfailures from 16.2 to 16.3 in /testing/plugins_integration",2026-06-02 12:16:07+00:00,1,1,1,2,0,0,1,0,200,15,True,89.63083333333333,LOW_VALUE,merge_commit|tiny_commit,10.0,testing/plugins_integration/requirements.txt,modified,testing/plugins_integration/requirements.txt | status=modified | +1 | -1,"FILE: testing/plugins_integration/requirements.txt
@@ -7,7 +7,7 @@ pytest-django==4.12.0
 pytest-flakes==4.0.5
 pytest-html==4.2.0
 pytest-mock==3.15.1
-pytest-rerunfailures==16.2
+pytest-rerunfailures==16.3
 pytest-sugar==1.1.1
 pytest-trio==0.8.0
 pytest-twisted==1.14.3",1.0,1.0,0.0,0.0,small documentation-only change | tiny commit with inspectable patch | single-file tiny change,"Merge pull request #14541 from pytest-dev/dependabot/pip/testing/plugins_integration/pytest-rerunfailures-16.3

build(deps): Bump pytest-rerunfailures from 16.2 to 16.3 in /testing/plugins_integration testing/plugins_integration/requirements.txt testing/plugins_integration/requirements.txt | status=modified | +1 | -1 FILE: testing/plugins_integration/requirements.txt
@@ -7,7 +7,7 @@ pytest-django==4.12.0
 pytest-flakes==4.0.5
 pytest-html==4.2.0
 pytest-mock==3.15.1
-pytest-rerunfailures==16.2
+pytest-rerunfailures==16.3
 pytest-sugar==1.1.1
 pytest-trio==0.8.0
 pytest-twisted==1.14.3"
tiangolo/sqlmodel,923f9f405d79f1034fbd7a96149ea47ca4d6017f,dependabot[bot],dependabot[bot],"⬆ Bump eps1lon/actions-label-merge-conflict from 3.0.3 to 3.1.0 in the github-actions group (#1993)

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",2026-06-04 07:53:03+00:00,1,1,1,2,0,0,0,1,236,18,False,214.67222222222225,LOW_VALUE,tiny_commit,10.0,.github/workflows/detect-conflicts.yml,modified,.github/workflows/detect-conflicts.yml | status=modified | +1 | -1,"FILE: .github/workflows/detect-conflicts.yml
@@ -15,7 +15,7 @@ jobs:
     timeout-minutes: 5
     steps:
       - name: Check if PRs have merge conflicts
-        uses: eps1lon/actions-label-merge-conflict@1df065ebe6e3310545d4f4c4e862e43bdca146f0 # v3.0.3
+        uses: eps1lon/actions-label-merge-conflict@0273be72a0bbd58fcd71d0d6c02c209b50d1e5e1 # v3.1.0
         with:
           dirtyLabel: ""conflicts""
           repoToken: ""${{ secrets.GITHUB_TOKEN }}""",1.0,1.0,0.0,0.0,small configuration-only change | tiny commit with inspectable patch | single-file tiny change,"⬆ Bump eps1lon/actions-label-merge-conflict from 3.0.3 to 3.1.0 in the github-actions group (#1993)

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com> .github/workflows/detect-conflicts.yml .github/workflows/detect-conflicts.yml | status=modified | +1 | -1 FILE: .github/workflows/detect-conflicts.yml
@@ -15,7 +15,7 @@ jobs:
     timeout-minutes: 5
     steps:
       - name: Check if PRs have merge conflicts
-        uses: eps1lon/actions-label-merge-conflict@1df065ebe6e3310545d4f4c4e862e43bdca146f0 # v3.0.3
+        uses: eps1lon/actions-label-merge-conflict@0273be72a0bbd58fcd71d0d6c02c209b50d1e5e1 # v3.1.0
         with:
           dirtyLabel: ""conflicts""
           repoToken: ""${{ secrets.GITHUB_TOKEN }}"""
psf/requests,4ce9520a1cfa2e91abe5a923498f49e1fdb2e4ee,allrob23,Robin,"Update lint workflow to ubuntu-24.04

Ubuntu 20.04 was the old default and is no longer supported by GitHub Actions",2025-04-23 12:44:05+00:00,1,1,1,2,0,0,0,1,115,19,False,,USEFUL,configuration_only|tiny_commit,10.0,.github/workflows/lint.yml,modified,.github/workflows/lint.yml | status=modified | +1 | -1,"FILE: .github/workflows/lint.yml
@@ -7,7 +7,7 @@ permissions:
 
 jobs:
   lint:
-    runs-on: ubuntu-20.04
+    runs-on: ubuntu-24.04
     timeout-minutes: 10
 
     steps:",1.0,1.0,0.0,0.0,small configuration-only change | tiny commit with inspectable patch | single-file tiny change,"Update lint workflow to ubuntu-24.04

Ubuntu 20.04 was the old default and is no longer supported by GitHub Actions .github/workflows/lint.yml .github/workflows/lint.yml | status=modified | +1 | -1 FILE: .github/workflows/lint.yml
@@ -7,7 +7,7 @@ permissions:
 
 jobs:
   lint:
-    runs-on: ubuntu-20.04
+    runs-on: ubuntu-24.04
     timeout-minutes: 10
 
     steps:"
fastapi/fastapi,5ebf2ab2d17bacd95154a2c87caa182fa34c6c85,dependabot[bot],dependabot[bot],"⬆ Bump https://github.com/crate-ci/typos from v1.47.1 to v1.47.2 in the pre-commit group (#15775)

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>
Co-authored-by: Yurii Motov <yurii.motov.monte@gmail.com>",2026-06-16 12:53:10+00:00,1,1,1,2,0,0,0,1,292,22,False,0.4080555555555555,LOW_VALUE,tiny_commit,10.0,.pre-commit-config.yaml,modified,.pre-commit-config.yaml | status=modified | +1 | -1,"FILE: .pre-commit-config.yaml
@@ -15,7 +15,7 @@ repos:
       - id: trailing-whitespace
 
   - repo: https://github.com/crate-ci/typos
-    rev: 44e2070e6017f834bf069503acb35ca0ca0b75f2 # v1.47.1
+    rev: 37bb98842b0d8c4ffebdb75301a13db0267cef89 # v1.47.2
     hooks:
       - id: typos
         args: [--force-exclude]",1.0,1.0,0.0,0.0,small configuration-only change | tiny commit with inspectable patch | single-file tiny change,"⬆ Bump https://github.com/crate-ci/typos from v1.47.1 to v1.47.2 in the pre-commit group (#15775)

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>
Co-authored-by: Yurii Motov <yurii.motov.monte@gmail.com> .pre-commit-config.yaml .pre-commit-config.yaml | status=modified | +1 | -1 FILE: .pre-commit-config.yaml
@@ -15,7 +15,7 @@ repos:
       - id: trailing-whitespace
 
   - repo: https://github.com/crate-ci/typos
-    rev: 44e2070e6017f834bf069503acb35ca0ca0b75f2 # v1.47.1
+    rev: 37bb98842b0d8c4ffebdb75301a13db0267cef89 # v1.47.2
     hooks:
       - id: typos
         args: [--force-exclude]"
tiangolo/sqlmodel,76db30b39c82df9081cc05f74746769dc6f155e4,dependabot[bot],dependabot[bot],"⬆ Bump https://github.com/crate-ci/typos from v1.47.1 to v1.47.2 in the pre-commit group (#2005)

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>
Co-authored-by: Yurii Motov <109919500+YuriiMotov@users.noreply.github.com>",2026-06-16 22:18:57+00:00,1,1,1,2,0,0,0,1,309,22,False,0.0591666666666666,LOW_VALUE,configuration_only,10.0,.pre-commit-config.yaml,modified,.pre-commit-config.yaml | status=modified | +1 | -1,"FILE: .pre-commit-config.yaml
@@ -13,7 +13,7 @@ repos:
       - id: trailing-whitespace
 
   - repo: https://github.com/crate-ci/typos
-    rev: 44e2070e6017f834bf069503acb35ca0ca0b75f2 # v1.47.1
+    rev: 37bb98842b0d8c4ffebdb75301a13db0267cef89 # v1.47.2
     hooks:
       - id: typos
         args: [--force-exclude]",1.0,1.0,0.0,0.0,small configuration-only change | tiny commit with inspectable patch | single-file tiny change,"⬆ Bump https://github.com/crate-ci/typos from v1.47.1 to v1.47.2 in the pre-commit group (#2005)

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>
Co-authored-by: Yurii Motov <109919500+YuriiMotov@users.noreply.github.com> .pre-commit-config.yaml .pre-commit-config.yaml | status=modified | +1 | -1 FILE: .pre-commit-config.yaml
@@ -13,7 +13,7 @@ repos:
       - id: trailing-whitespace
 
   - repo: https://github.com/crate-ci/typos
-    rev: 44e2070e6017f834bf069503acb35ca0ca0b75f2 # v1.47.1
+    rev: 37bb98842b0d8c4ffebdb75301a13db0267cef89 # v1.47.2
     hooks:
       - id: typos
         args: [--force-exclude]"
pytest-dev/pytest,15427697a510c163313c04a19ab2a5ea8cc2dcf8,bluetech,Ran Benita,"testing: ignore ""forkpty"" deprecation errors coming from pexpect on Python 3.15

Nothing we can do about it, needs a new pexpect release, so ignore for
now.",2026-05-27 08:18:02+00:00,1,2,0,2,0,0,0,1,156,26,False,0.1252777777777777,USEFUL,configuration_only,10.0,pyproject.toml,modified,pyproject.toml | status=modified | +2 | -0,"FILE: pyproject.toml
@@ -415,6 +415,8 @@ filterwarnings = [
     # https://github.com/pytest-dev/pytest/issues/2366
     # https://github.com/pytest-dev/pytest/pull/13057
     'default::pytest.PytestFDWarning',
+    # https://github.com/pexpect/pexpect/issues/827
+    'ignore:.*use of forkpty\(\) may lead to deadlocks in the child:DeprecationWarning:ptyprocess.*',
 ]
 pytester_example_dir = ""testing/example_scripts""
 markers = [",1.0,1.0,0.0,0.0,small configuration-only change | tiny commit with inspectable patch | single-file tiny change,"testing: ignore ""forkpty"" deprecation errors coming from pexpect on Python 3.15

Nothing we can do about it, needs a new pexpect release, so ignore for
now. pyproject.toml pyproject.toml | status=modified | +2 | -0 FILE: pyproject.toml
@@ -415,6 +415,8 @@ filterwarnings = [
     # https://github.com/pytest-dev/pytest/issues/2366
     # https://github.com/pytest-dev/pytest/pull/13057
     'default::pytest.PytestFDWarning',
+    # https://github.com/pexpect/pexpect/issues/827
+    'ignore:.*use of forkpty\(\) may lead to deadlocks in the child:DeprecationWarning:ptyprocess.*',
 ]
 pytester_example_dir = ""testing/example_scripts""
 markers = ["
encode/httpx,534b47ebf2700c0be8867ba887d1d890d8ad96d6,dependabot[bot],dependabot[bot],"Bump trustme from 1.0.0 to 1.1.0 (#2804)

Bumps [trustme](https://github.com/python-trio/trustme) from 1.0.0 to 1.1.0.
- [Commits](https://github.com/python-trio/trustme/compare/v1.0.0...v1.1.0)

---
updated-dependencies:
- dependency-name: trustme
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",2023-08-14 12:36:38+00:00,1,1,1,2,0,0,1,0,480,31,False,294.8063888888889,LOW_VALUE,documentation_only,10.0,requirements.txt,modified,requirements.txt | status=modified | +1 | -1,"FILE: requirements.txt
@@ -28,5 +28,5 @@ pytest==7.4.0
 ruff==0.0.275
 trio==0.22.0
 trio-typing==0.8.0
-trustme==1.0.0
+trustme==1.1.0
 uvicorn==0.22.0",1.0,1.0,0.0,0.0,small documentation-only change | tiny commit with inspectable patch | single-file tiny change,"Bump trustme from 1.0.0 to 1.1.0 (#2804)

Bumps [trustme](https://github.com/python-trio/trustme) from 1.0.0 to 1.1.0.
- [Commits](https://github.com/python-trio/trustme/compare/v1.0.0...v1.1.0)

---
updated-dependencies:
- dependency-name: trustme
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com> requirements.txt requirements.txt | status=modified | +1 | -1 FILE: requirements.txt
@@ -28,5 +28,5 @@ pytest==7.4.0
 ruff==0.0.275
 trio==0.22.0
 trio-typing==0.8.0
-trustme==1.0.0
+trustme==1.1.0
 uvicorn==0.22.0"
encode/httpx,77cb36f181b6ee728dd25c781ba5550a8804ee1d,dependabot[bot],dependabot[bot],"Bump cryptography from 42.0.2 to 42.0.4 (#3107)

Bumps [cryptography](https://github.com/pyca/cryptography) from 42.0.2 to 42.0.4.
- [Changelog](https://github.com/pyca/cryptography/blob/main/CHANGELOG.rst)
- [Commits](https://github.com/pyca/cryptography/compare/42.0.2...42.0.4)

---
updated-dependencies:
- dependency-name: cryptography
  dependency-type: direct:production
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",2024-02-22 14:52:20+00:00,1,1,1,2,0,0,1,0,528,31,False,502.5425,LOW_VALUE,bot_commit,10.0,requirements.txt,modified,requirements.txt | status=modified | +1 | -1,"FILE: requirements.txt
@@ -19,7 +19,7 @@ twine==4.0.2
 
 # Tests & Linting
 coverage[toml]==7.4.1
-cryptography==42.0.2
+cryptography==42.0.4
 mypy==1.8.0
 pytest==8.0.0
 ruff==0.1.15",1.0,1.0,0.0,0.0,small documentation-only change | tiny commit with inspectable patch | single-file tiny change,"Bump cryptography from 42.0.2 to 42.0.4 (#3107)

Bumps [cryptography](https://github.com/pyca/cryptography) from 42.0.2 to 42.0.4.
- [Changelog](https://github.com/pyca/cryptography/blob/main/CHANGELOG.rst)
- [Commits](https://github.com/pyca/cryptography/compare/42.0.2...42.0.4)

---
updated-dependencies:
- dependency-name: cryptography
  dependency-type: direct:production
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com> requirements.txt requirements.txt | status=modified | +1 | -1 FILE: requirements.txt
@@ -19,7 +19,7 @@ twine==4.0.2
 
 # Tests & Linting
 coverage[toml]==7.4.1
-cryptography==42.0.2
+cryptography==42.0.4
 mypy==1.8.0
 pytest==8.0.0
 ruff==0.1.15"
encode/httpx,05937f4130f1cf06f697a56672e75f0521e2c576,dependabot[bot],dependabot[bot],"Bump trio-typing from 0.8.0 to 0.9.0 (#2914)

Bumps [trio-typing](https://github.com/python-trio/trio-typing) from 0.8.0 to 0.9.0.
- [Commits](https://github.com/python-trio/trio-typing/compare/v0.8.0...v0.9.0)

---
updated-dependencies:
- dependency-name: trio-typing
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",2023-11-01 20:57:15+00:00,1,1,1,2,0,0,1,0,500,31,False,4.497777777777777,LOW_VALUE,tiny_commit,10.0,requirements.txt,modified,requirements.txt | status=modified | +1 | -1,"FILE: requirements.txt
@@ -27,6 +27,6 @@ types-certifi==2021.10.8.2
 pytest==7.4.3
 ruff==0.0.291
 trio==0.22.2
-trio-typing==0.8.0
+trio-typing==0.9.0
 trustme==1.1.0
 uvicorn==0.22.0",1.0,1.0,0.0,0.0,small documentation-only change | tiny commit with inspectable patch | single-file tiny change,"Bump trio-typing from 0.8.0 to 0.9.0 (#2914)

Bumps [trio-typing](https://github.com/python-trio/trio-typing) from 0.8.0 to 0.9.0.
- [Commits](https://github.com/python-trio/trio-typing/compare/v0.8.0...v0.9.0)

---
updated-dependencies:
- dependency-name: trio-typing
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com> requirements.txt requirements.txt | status=modified | +1 | -1 FILE: requirements.txt
@@ -27,6 +27,6 @@ types-certifi==2021.10.8.2
 pytest==7.4.3
 ruff==0.0.291
 trio==0.22.2
-trio-typing==0.8.0
+trio-typing==0.9.0
 trustme==1.1.0
 uvicorn==0.22.0"
